Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s)
11753.00,0.00,0.00,0.09,0.00,0.00,11.65,0.00,0.00,2128.68,-0.00,-0.00,0.00,0.00,-0.00,0.00
11764.00,0.00,0.00,0.04,0.00,0.00,-5.18,0.00,0.00,-1529.93,-0.00,-0.00,0.00,-0.00,-0.00,-0.00
11781.00,0.00,0.00,-0.03,0.00,0.00,-4.05,0.00,0.00,66.66,-0.00,-0.00,0.00,-0.00,0.00,0.00
11790.00,0.00,0.00,0.04,0.00,0.00,8.38,0.00,0.00,1380.53,-0.00,-0.00,0.00,0.00,0.01,-0.00
11797.00,0.00,0.00,-0.03,0.00,0.00,-9.71,0.00,0.00,-2583.95,-0.00,-0.00,0.00,0.00,0.00,0.00
11803.00,0.00,0.00,-0.02,0.00,0.00,1.50,0.00,0.00,1868.20,-0.00,-0.00,0.00,0.00,0.00,-0.00
11810.00,0.00,0.00,0.07,0.00,0.00,12.12,0.00,0.00,1517.10,-0.00,-0.00,0.00,0.00,0.00,-0.00
11818.00,0.00,0.00,0.04,0.00,0.00,-3.65,0.00,0.00,-1971.78,-0.00,-0.00,0.00,-0.00,-0.00,-0.00
11823.00,0.00,0.00,0.00,0.00,0.00,-6.96,0.00,0.00,-661.52,-0.00,-0.00,0.00,-0.00,-0.00,-0.00
11830.00,0.00,0.00,-0.05,0.00,0.00,-7.39,0.00,0.00,-60.98,-0.00,-0.00,0.00,-0.00,0.00,0.00
11839.00,0.00,0.00,0.13,0.00,0.00,19.50,0.00,0.00,2987.98,-0.00,-0.00,0.00,0.00,-0.00,-0.00
11851.00,0.00,0.00,-0.03,0.00,0.00,-12.91,0.00,0.00,-2701.45,-0.00,-0.00,0.00,0.00,-0.00,0.00
11866.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,994.04,-0.00,-0.00,0.00,-0.00,0.00,0.00
11872.00,0.00,0.00,0.06,0.00,0.00,10.16,0.00,0.00,1361.07,-0.00,-0.00,0.00,0.00,0.00,0.00
11880.00,0.00,0.00,-0.08,0.00,0.00,-17.80,0.00,0.00,-3495.86,-0.00,-0.00,0.00,0.00,0.00,0.00
11888.00,0.00,0.00,0.03,0.00,0.00,13.87,0.00,0.00,3959.31,-0.00,-0.00,0.00,-0.00,-0.00,0.00
11893.00,0.00,0.00,-0.11,0.00,0.00,-29.37,0.00,0.00,-8648.28,-0.00,-0.00,0.00,-0.00,-0.00,0.00
11901.00,0.00,0.00,0.04,0.00,0.00,18.80,0.00,0.00,6021.05,-0.00,-0.00,0.00,0.00,-0.00,0.00
11906.00,0.00,0.00,0.06,0.00,0.00,5.45,0.00,0.00,-2670.47,-0.00,-0.00,0.00,0.00,-0.00,-0.00
11912.00,0.00,0.00,0.08,0.00,0.00,3.11,0.00,0.00,-389.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00
11920.00,0.00,0.00,0.05,0.00,0.00,-4.32,0.00,0.00,-929.05,-0.00,-0.00,0.00,-0.00,0.00,-0.00
11932.00,0.00,0.00,0.07,0.00,0.00,1.74,0.00,0.00,505.14,-0.00,-0.00,0.00,0.00,0.00,0.00
11941.00,0.00,0.00,-0.04,0.00,0.00,-12.18,0.00,0.00,-1546.86,-0.00,-0.00,0.00,0.00,0.00,0.00
11950.00,0.00,0.00,0.03,0.00,0.00,7.59,0.00,0.00,2196.53,-0.00,-0.00,0.00,-0.00,0.00,-0.00
11965.00,0.00,0.00,0.18,0.00,0.00,10.49,0.00,0.00,193.74,-0.00,-0.00,0.00,-0.00,0.00,0.00
11971.00,0.00,0.00,0.04,0.00,0.00,-23.59,0.00,0.00,-5679.88,-0.00,-0.00,0.00,0.00,0.00,0.00
11980.00,0.00,0.00,0.01,0.00,0.00,-3.82,0.00,0.00,2196.28,-0.00,-0.00,0.00,0.00,-0.00,0.00
11987.00,0.00,0.00,0.01,0.00,0.00,0.23,0.00,0.00,578.95,-0.00,-0.00,0.00,0.00,-0.00,0.00
11992.00,0.00,0.00,0.06,0.00,0.00,9.60,0.00,0.00,1872.65,-0.00,-0.00,0.00,0.00,-0.00,0.00
12001.00,0.00,0.00,0.02,0.00,0.00,-4.04,0.00,0.00,-1515.10,-0.00,-0.00,0.00,0.01,-0.00,0.00
12006.00,0.00,0.00,0.06,0.00,0.00,7.33,0.00,0.00,2274.34,-0.00,-0.00,0.00,0.00,-0.00,-0.00
12021.00,0.00,0.00,0.05,0.00,0.00,-0.66,0.00,0.00,-532.74,-0.00,-0.00,0.00,0.00,0.00,0.00
12031.00,0.00,0.00,-0.06,0.00,0.00,-10.43,0.00,0.00,-977.10,-0.00,-0.00,0.00,0.00,0.00,0.00
12039.00,0.00,0.00,0.01,0.00,0.00,7.86,0.00,0.00,2286.13,-0.00,-0.00,0.00,-0.00,-0.00,0.00
12046.00,0.00,0.00,0.07,0.00,0.00,8.52,0.00,0.00,93.58,-0.00,-0.00,0.00,-0.00,-0.00,-0.00
12052.00,0.00,0.00,0.04,0.00,0.00,-4.86,0.00,0.00,-2229.19,-0.00,-0.00,0.00,0.00,0.00,-0.00
12067.00,0.00,0.00,0.02,0.00,0.00,-1.21,0.00,0.00,243.08,-0.00,-0.00,0.00,-0.00,-0.00,0.00
12073.00,0.00,0.00,-0.05,0.00,0.00,-11.59,0.00,0.00,-1728.98,-0.00,-0.00,0.00,-0.00,-0.00,0.00
12080.00,0.00,0.00,0.02,0.00,0.00,10.35,0.00,0.00,3133.90,-0.00,-0.00,0.00,-0.00,0.00,0.00
12088.00,0.00,0.00,-0.00,0.00,0.00,-3.33,0.00,0.00,-1709.49,-0.00,-0.00,0.00,0.00,-0.00,0.00
12093.00,0.00,0.00,-0.03,0.00,0.00,-4.25,0.00,0.00,-184.20,-0.00,-0.00,0.00,0.00,-0.00,-0.00
12106.00,0.00,0.00,0.09,0.00,0.00,8.74,0.00,0.00,999.14,-0.00,-0.00,0.00,-0.00,-0.00,-0.00
12113.00,0.00,0.00,-0.01,0.00,0.00,-14.24,0.00,0.00,-3283.57,-0.00,-0.00,0.00,-0.00,-0.00,0.00
12120.00,0.00,0.00,-0.04,0.00,0.00,-3.96,0.00,0.00,1468.89,-0.00,-0.00,0.00,-0.00,-0.00,0.00
12128.00,0.00,0.00,0.03,0.00,0.00,8.70,0.00,0.00,1582.97,-0.00,-0.00,0.00,0.00,0.00,0.00
12134.00,0.00,0.00,0.07,0.00,0.00,6.12,0.00,0.00,-430.07,-0.00,-0.00,0.00,-0.00,0.00,0.00
12141.00,0.00,0.00,0.05,0.00,0.00,-2.08,0.00,0.00,-1171.28,-0.00,-0.00,0.00,-0.00,0.00,-0.00
12150.00,0.00,0.00,0.10,0.00,0.00,5.39,0.00,0.00,829.31,-0.00,-0.00,0.00,-0.00,-0.00,0.00
12165.00,0.00,0.00,0.08,0.00,0.00,-1.69,0.00,0.00,-472.06,-0.00,-0.00,0.00,-0.00,-0.00,0.00
12172.00,0.00,0.00,-0.01,0.00,0.00,-11.58,0.00,0.00,-1411.88,-0.00,-0.00,0.00,-0.00,-0.00,0.00
12180.00,0.00,0.00,-0.07,0.00,0.00,-8.32,0.00,0.00,407.42,-0.00,-0.00,0.00,-0.00,0.00,-0.00
12192.00,0.00,0.00,0.06,0.00,0.00,11.14,0.00,0.00,1621.43,-0.00,-0.00,0.00,0.00,-0.00,0.00
12202.00,0.00,0.00,0.04,0.00,0.00,-2.47,0.00,0.00,-1360.87,-0.00,-0.00,0.00,-0.00,0.00,-0.00
12207.00,0.00,0.00,0.11,0.00,0.00,14.77,0.00,0.00,3447.19,-0.00,-0.00,0.00,-0.00,-0.00,-0.00
12213.00,0.00,0.00,-0.01,0.00,0.00,-19.92,0.00,0.00,-5780.45,-0.00,-0.00,0.00,0.00,-0.00,-0.00
12220.00,0.00,0.00,-0.02,0.00,0.00,-1.53,0.00,0.00,2626.77,-0.00,-0.00,0.00,0.00,0.00,-0.00
12229.00,0.00,0.00,0.03,0.00,0.00,5.03,0.00,0.00,728.61,-0.00,-0.00,0.00,0.00,0.00,0.00
