Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
11976.00,0.00,0.00,-0.02,0.00,0.00,-3.42,0.00,0.00,548.52,-0.00,-0.00,-0.00,0.00,-0.00,0.00,6.00
11982.00,0.00,0.00,-0.02,0.00,0.00,0.34,0.00,0.00,627.83,-0.00,-0.00,-0.00,0.00,-0.00,0.00,6.00
11988.00,0.00,0.00,-0.01,0.00,0.00,1.16,0.00,0.00,135.16,-0.00,-0.00,-0.00,0.00,-0.00,0.00,16.00
12004.00,0.00,0.00,-0.03,0.00,0.00,-1.19,0.00,0.00,-146.50,-0.00,-0.00,-0.00,0.00,0.00,0.00,7.00
12016.00,0.00,0.00,0.04,0.00,0.00,5.48,0.00,0.00,555.43,-0.00,-0.00,-0.00,0.00,-0.00,0.00,6.00
12022.00,0.00,0.00,0.06,0.00,0.00,3.22,0.00,0.00,-376.93,-0.00,-0.00,-0.00,0.00,-0.00,0.00,8.00
12030.00,0.00,0.00,0.02,0.00,0.00,-5.05,0.00,0.00,-1032.67,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,5.00
12035.00,0.00,0.00,-0.03,0.00,0.00,-8.13,0.00,0.00,-615.98,-0.00,-0.00,-0.00,0.00,0.00,-0.00,6.00
12041.00,0.00,0.00,0.06,0.00,0.00,14.01,0.00,0.00,3689.50,-0.00,-0.00,-0.00,0.00,0.00,-0.00,8.00
12049.00,0.00,0.00,0.05,0.00,0.00,-1.69,0.00,0.00,-1962.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,8.00
12057.00,0.00,0.00,-0.01,0.00,0.00,-6.49,0.00,0.00,-600.27,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,6.00
12063.00,0.00,0.00,-0.01,0.00,0.00,-1.19,0.00,0.00,883.30,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,7.00
12070.00,0.00,0.00,0.08,0.00,0.00,13.18,0.00,0.00,2052.66,-0.00,-0.00,-0.00,0.00,-0.00,0.00,8.00
12078.00,0.00,0.00,0.12,0.00,0.00,5.64,0.00,0.00,-942.46,-0.00,-0.00,-0.00,0.00,0.00,0.00,3.00
12086.00,0.00,0.00,0.06,0.00,0.00,-7.79,0.00,0.00,-1678.65,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,16.00
12102.00,0.00,0.00,0.02,0.00,0.00,-2.81,0.00,0.00,311.43,-0.00,-0.00,-0.00,0.00,0.00,-0.00,8.00
12110.00,0.00,0.00,0.06,0.00,0.00,5.15,0.00,0.00,994.18,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,8.00
12118.00,0.00,0.00,0.02,0.00,0.00,-4.89,0.00,0.00,-1254.49,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,5.00
12123.00,0.00,0.00,0.01,0.00,0.00,-2.22,0.00,0.00,534.63,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,7.00
12130.00,0.00,0.00,0.03,0.00,0.00,3.72,0.00,0.00,848.14,-0.00,-0.00,-0.00,0.00,-0.00,0.00,6.00
12136.00,0.00,0.00,-0.01,0.00,0.00,-8.01,0.00,0.00,-1955.53,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,5.00
12141.00,0.00,0.00,-0.08,0.00,0.00,-12.94,0.00,0.00,-985.26,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,6.00
12147.00,0.00,0.00,0.05,0.00,0.00,22.28,0.00,0.00,5869.40,-0.00,-0.00,-0.00,0.00,0.00,0.00,5.00
12152.00,0.00,0.00,0.05,0.00,0.00,-1.09,0.00,0.00,-4673.83,-0.00,-0.00,-0.00,0.00,0.00,0.00,8.00
12165.00,0.00,0.00,0.10,0.00,0.00,3.60,0.00,0.00,361.30,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,7.00
12172.00,0.00,0.00,0.01,0.00,0.00,-12.63,0.00,0.00,-2319.65,-0.00,-0.00,-0.00,0.00,0.00,-0.00,8.00
